COD_PAIS;NOME_PAIS;SITUACAO;INICIO;FIM
04278;LETONIA, REPUBLICA DA;;2006-01-01;
04316;LIBANO;;2006-01-01;
04340;LIBERIA;;2006-01-01;
04383;LIBIA;;2006-01-01;
04405;LIECHTENSTEIN;;2006-01-01;
04421;LITUANIA, REPUBLICA DA;;2006-01-01;
04456;LUXEMBURGO;;2006-01-01;
04472;MACAU;;2006-01-01;
04499;MACEDONIA, ANT.REP.IUGOSLAVA;;2006-01-01;
04502;MADAGASCAR;;2006-01-01;
04525;MADEIRA, ILHA DA;EXCLUÍDO;2006-01-01;2018-05-31
04553;MALASIA;;2006-01-01;
04588;MALAVI;;2006-01-01;
04618;MALDIVAS;;2006-01-01;
04642;MALI;;2006-01-01;
04677;MALTA;;2006-01-01;
04723;MARIANAS DO NORTE;;2006-01-01;
04740;MARROCOS;;2006-01-01;
04766;MARSHALL,ILHAS;;2006-01-01;
04774;MARTINICA;;2006-01-01;
04855;MAURICIO;;2006-01-01;
04880;MAURITANIA;;2006-01-01;
04885;MAYOTTE (ILHAS FRANCESAS);ALTERADO;2006-01-01;2018-05-31
04898;MAYOTTE (ILHAS FRANCESAS);INCLUÍDO;2017-01-01;
04901;MIDWAY, ILHAS;EXCLUÍDO;2006-01-01;2018-05-31
04936;MEXICO;;2006-01-01;
04944;MOLDAVIA, REPUBLICA DA;;2006-01-01;
04952;MONACO;;2006-01-01;
04979;MONGOLIA;;2006-01-01;
04985;MONTENEGRO;;2006-01-01;
04995;MICRONESIA;;2006-01-01;
05010;MONTSERRAT,ILHAS;;2006-01-01;
05053;MOCAMBIQUE;;2006-01-01;
05070;NAMIBIA;;2006-01-01;
05088;NAURU;;2006-01-01;
05118;CHRISTMAS,ILHA (NAVIDAD);;2006-01-01;
05177;NEPAL;;2006-01-01;
05215;NICARAGUA;;2006-01-01;
05258;NIGER;;2006-01-01;
05282;NIGERIA;;2006-01-01;
05312;NIUE,ILHA;;2006-01-01;
05355;NORFOLK,ILHA;;2006-01-01;
05380;NORUEGA;;2006-01-01;
05428;NOVA CALEDONIA;;2006-01-01;
05452;PAPUA NOVA GUINE;;2006-01-01;
05487;NOVA ZELANDIA;;2006-01-01;
05517;VANUATU;;2006-01-01;
05568;OMA;;2006-01-01;
05665;PACIFICO,ILHAS DO (POSSESSAO DOS EUA);;2006-01-01;
05738;PAÍSES BAIXOS (HOLANDA);;2006-01-01;
05754;PALAU;;2006-01-01;
05762;PAQUISTAO;;2006-01-01;
05780;PALESTINA;;2012-11-29;
05800;PANAMA;;2006-01-01;
05860;PARAGUAI;;2006-01-01;
05894;PERU;;2006-01-01;
05932;PITCAIRN,ILHA;;2006-01-01;
05991;POLINESIA FRANCESA;;2006-01-01;
06033;POLONIA, REPUBLICA DA;;2006-01-01;
06076;PORTUGAL;;2006-01-01;
06114;PORTO RICO;;2006-01-01;
06238;QUENIA;;2006-01-01;
06254;QUIRGUIZ, REPUBLICA;;2006-01-01;
06289;REINO UNIDO;;2006-01-01;
06408;REPUBLICA CENTRO-AFRICANA;;2006-01-01;
06475;REPUBLICA DOMINICANA;;2006-01-01;
06602;REUNIAO, ILHA;;2006-01-01;
06653;ZIMBABUE;;2006-01-01;
06700;ROMENIA;;2006-01-01;
06750;RUANDA;;2006-01-01;
06769;RUSSIA, FEDERACAO DA;;2006-01-01;
06777;SALOMAO, ILHAS;;2006-01-01;
06858;SAARA OCIDENTAL;;2006-01-01;
06874;EL SALVADOR;;2006-01-01;
06904;SAMOA;;2006-01-01;
06912;SAMOA AMERICANA;;2006-01-01;
06955;SAO CRISTOVAO E NEVES,ILHAS;;2006-01-01;
06939;SAO BARTOLOMEU;INCLUÍDO;2017-01-01;
06971;SAN MARINO;;2006-01-01;
06980;ILHAS DE SAO MARTINHO (PARTE FRANCESA);INCLUÍDO;2017-01-01;
06998;SAO MARTINHO, ILHA DE (PARTE FRANCESA);INCLUÍDO;2017-01-01;
07005;SAO PEDRO E MIQUELON;;2006-01-01;
07056;SAO VICENTE E GRANADINAS;;2006-01-01;
07102;SANTA HELENA;;2006-01-01;
