CFOP;Descrição;Início;Fim
5304;Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte;2009-01-01;
5305;Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
5306;Prestação de serviço de comunicação a estabelecimento de produtor rural;2009-01-01;
5307;Prestação de serviço de comunicação a não contribuinte;2009-01-01;
5351;Prestação de serviço de transporte para execução de serviço da mesma natureza;2009-01-01;
5352;Prestação de serviço de transporte a estabelecimento industrial;2009-01-01;
5353;Prestação de serviço de transporte a estabelecimento comercial;2009-01-01;
5354;Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação;2009-01-01;
5355;Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
5356;Prestação de serviço de transporte a estabelecimento de produtor rural;2009-01-01;
5357;Prestação de serviço de transporte a não contribuinte;2009-01-01;
5359;Prestação de serviço de transporte a contribuinte ou a não contribuinte quando a mercadoria transportada está dispensada de emissão de nota fiscal. (ajuste sinief 03/04);2009-01-01;
5360;Prestação de serviço de transporte a contribuinte substituto em relação ao serviço de transporte.;2009-01-01;
5401;Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto;2009-01-01;
5402;Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto;2009-01-01;
5403;Venda de mercadoria, adquirida ou recebida de terceiros, sujeita ao regime de substituição tributária, na condição de contribuinte-substituto;2009-01-01;
5405;Venda de mercadoria, adquirida ou recebida de terceiros, sujeita ao regime de substituição tributária, na condição de contribuinte-substituído;2009-01-01;
5408;Transferência de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
5409;Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
5410;Devolução de compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
5411;Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
5412;Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
5413;Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita ao regime de substituição tributária.;2009-01-01;
5414;Remessa de produção do estabelecimento para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
5415;Remessa de mercadoria adquirida ou recebida de terceiros para venda fora do estabelecimento, em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
5451;Remessa de animal e de insumo para estabelecimento produtor;2009-01-01;2019-11-30
5451;Remessa de animal - Sistema de Integração e Parceria Rural;2019-12-01;
5452;Remessa de insumo - Sistema de Integração e Parceria Rural;2019-12-01;
5453;Retorno de animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
5454;Retorno simbólico de animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
5455;Retorno de insumos não utilizados na produção - Sistema de Integração e Parceria Rural;2019-12-01;
5456;Saída referente a remuneração do produtor - Sistema de Integração e Parceria Rural;2019-12-01;
5501;Remessa de produção do estabelecimento, com fim específico de exportação;2009-01-01;
5502;Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação;2009-01-01;
5503;Devolução de mercadoria recebida com fim específico de exportação;2009-01-01;
5504;Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;2009-01-01;
5505;Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação;2009-01-01;
5551;Venda de bem do ativo imobilizado;2009-01-01;
5552;Transferência de bem do ativo imobilizado;2009-01-01;
5553;Devolução de compra de bem para o ativo imobilizado;2009-01-01;
5554;Remessa de bem do ativo imobilizado para uso fora do estabelecimento;2009-01-01;
5555;Devolução de bem do ativo imobilizado de terceiro, recebido para uso no estabelecimento;2009-01-01;
5556;Devolução de compra de material de uso ou consumo;2009-01-01;
5557;Transferência de material de uso ou consumo;2009-01-01;
5601;Transferência de crédito de ICMS acumulado;2009-01-01;
5602;Transferência de saldo credor de ICMS para outro estabelecimento da mesma empresa, destinado à compensação de saldo devedor de ICMS;2009-01-01;
5603;Ressarcimento de ICMS retido por substituição tributária;2009-01-01;
5605;Transferência de saldo devedor de ICMS de outro estabelecimento da mesma empresa. (ajuste sinief 03/04);2009-01-01;
5606;Utilização de saldo credor de ICMS para extinção por compensação de débitos fiscais.;2009-01-01;
5651;Venda de combustível ou lubrificante de produção do estabelecimento destinado à industrialização subseqüente;2009-01-01;
5652;Venda de combustível ou lubrificante de produção do estabelecimento destinado à comercialização;2009-01-01;
5653;Venda de combustível ou lubrificante de produção do estabelecimento destinado a consumidor ou usuário final;2009-01-01;
5654;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à industrialização subseqüente;2009-01-01;
5655;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à comercialização;2009-01-01;
5656;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado a consumidor ou usuário final;2009-01-01;
5657;Remessa de combustível ou lubrificante adquirido ou recebido de terceiros para venda fora do estabelecimento;2009-01-01;
5658;Transferência de combustível ou lubrificante de produção do estabelecimento;2009-01-01;
5659;Transferência de combustível ou lubrificante adquirido ou recebido de terceiro;2009-01-01;
5660;Devolução de compra de combustível ou lubrificante adquirido para industrialização subseqüente;2009-01-01;
5661;Devolução de compra de combustível ou lubrificante adquirido para comercialização;2009-01-01;
5662;Devolução de compra de combustível ou lubrificante adquirido por consumidor ou usuário final;2009-01-01;
5663;Remessa para armazenagem de combustível ou lubrificante;2009-01-01;
5664;Retorno de combustível ou lubrificante recebido para armazenagem;2009-01-01;
5665;Retorno simbólico de combustível ou lubrificante recebido para armazenagem;2009-01-01;
5666;Remessa por conta e ordem de terceiros de combustível ou lubrificante recebido para armazenagem;2009-01-01;
5667;Venda de combustível ou lubrificante a consumidor ou usuário final estabelecido em outra unidade da Federação;2009-01-01;
5901;Remessa para industrialização por encomenda;2009-01-01;
5902;Retorno de mercadoria utilizada na industrialização por encomenda;2009-01-01;
5903;Retorno de mercadoria recebida para industrialização e não aplicada no referido processo;2009-01-01;
5904;Remessa para venda fora do estabelecimento;2009-01-01;2022-05-31
5904;Remessa para venda fora do estabelecimento, ou qualquer remessa efetuada pelo MEI com exceção das classificadas nos códigos 5.502 e 5.505;2022-06-01;
5905;Remessa para depósito fechado ou armazém geral;2009-01-01;
5906;Retorno de mercadoria depositada em depósito fechado ou armazém geral;2009-01-01;
5907;Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral;2009-01-01;
5908;Remessa de bem por conta de contrato de comodato;2009-01-01;2019-11-30
5908;Remessa de bem por conta de contrato de comodato ou locação;2019-12-01;
5909;Retorno de bem recebido por conta de contrato de comodato;2009-01-01;2019-11-30
5909;Retorno de bem recebido por conta de contrato de comodato ou locação;1900-01-00;
;01122019;1900-01-00;
5910;Remessa em bonificação, doação ou brinde;2009-01-01;
5911;Remessa de amostra grátis;2009-01-01;
5912;Remessa de mercadoria ou bem para demonstração;2009-01-01;
5913;Retorno de mercadoria ou bem recebido para demonstração;2009-01-01;
5914;Remessa de mercadoria ou bem para exposição ou feira;2009-01-01;
5915;Remessa de mercadoria ou bem para conserto ou reparo;2009-01-01;
5916;Retorno de mercadoria ou bem recebido para conserto ou reparo;2009-01-01;
5917;Remessa de mercadoria em consignação mercantil ou industrial;2009-01-01;
5918;Devolução de mercadoria recebida em consignação mercantil ou industrial;2009-01-01;
5919;Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial;2009-01-01;
5920;Remessa de vasilhame ou sacaria;2009-01-01;
5921;Devolução de vasilhame ou sacaria;2009-01-01;
5922;Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura;2009-01-01;
5923;Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem;2009-01-01;2010-06-30
5924;Remessa para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;2009-01-01;
5925;Retorno de mercadoria recebida para industrialização por conta e ordem do adquirente da mercadoria, quando aquela não transitar pelo estabelecimento do adquirente;2009-01-01;
5926;Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação;2009-01-01;
5927;Lançamento efetuado a título de baixa de estoque decorrente de perda, roubo ou deterioração;2009-01-01;
5928;Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa;2009-01-01;
5929;Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento Emissor de Cupom Fiscal - ECF;2009-01-01;2020-01-31
5931;Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço;2009-01-01;
5932;Prestação de serviço de transporte iniciada em unidade da Federação diversa daquela onde inscrito o prestador;2009-01-01;
5933;Prestação de serviço tributado pelo ISSQN. (ajuste sinief 03/04);2009-01-01;
5949;Outra saída de mercadoria ou prestação de serviço não especificado;2009-01-01;
6101;Venda de produção do estabelecimento;2009-01-01;
6102;Venda de mercadoria adquirida ou recebida de terceiros;2009-01-01;2022-05-31
6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505;2022-06-01;
6103;Venda de produção do estabelecimento, efetuada fora do estabelecimento;2009-01-01;
6104;Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento;2009-01-01;
6105;Venda de produção do estabelecimento que não deva por ele transitar;2009-01-01;
6106;Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;2009-01-01;
6107;Venda de produção do estabelecimento, destinada a não contribuinte;2009-01-01;
6108;Venda de mercadoria adquirida ou recebida de terceiros, destinada a não contribuinte;2009-01-01;
6109;Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
6110;Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
6111;Venda de produção do estabelecimento remetida anteriormente em consignação industrial;2009-01-01;
6112;Venda de mercadoria adquirida ou recebida de Terceiros remetida anteriormente em consignação industrial;2009-01-01;
6113;Venda de produção do estabelecimento remetida anteriormente em consignação mercantil;2009-01-01;
6114;Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil;2009-01-01;
6115;Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil;2009-01-01;
6116;Venda de produção do estabelecimento originada de encomenda para entrega futura;2009-01-01;
6117;Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda para entrega futura;2009-01-01;
6118;Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem;2009-01-01;
6119;Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem;2009-01-01;
6120;Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem;2009-01-01;
6122;Venda de produção do estabelecimento remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente;2009-01-01;
6123;Venda de mercadoria adquirida ou recebida de terceiros remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente;2009-01-01;
6124;Industrialização efetuada para outra empresa;2009-01-01;
6125;Industrialização efetuada para outra empresa quando a mercadoria recebida para utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria;2009-01-01;
6151;Transferência de produção do estabelecimento;2009-01-01;
6152;Transferência de mercadoria adquirida ou recebida de terceiros;2009-01-01;
6153;Transferência de energia elétrica;2009-01-01;
6155;Transferência de produção do estabelecimento, que não deva por ele transitar;2009-01-01;
6156;Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;2009-01-01;
6159;Fornecimento de produção do estabelecimento de ato cooperativo;2018-09-01;
6160;Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;2018-09-01;
6201;Devolução de compra para industrialização;2009-01-01;
6202;Devolução de compra para comercialização;2009-01-01;2022-05-31
6202;Devolução de compra para comercialização, ou qualquer devolução de mercadoria efetuada pelo MEI com exceção das classificadas no código 6.503;2022-06-01;
6205;Anulação de valor relativo a aquisição de serviço de comunicação;2009-01-01;
6206;Anulação de valor relativo a aquisição de serviço de transporte;2009-01-01;
6207;Anulação de valor relativo à compra de energia elétrica;2009-01-01;
6208;Devolução de mercadoria recebida em transferência para industrialização;2009-01-01;
6209;Devolução de mercadoria recebida em transferência para comercialização;2009-01-01;
6210;Devolução de compra para utilização na prestação de serviço;2009-01-01;
6251;Venda de energia elétrica para distribuição ou comercialização;2009-01-01;
6252;Venda de energia elétrica para estabelecimento industrial;2009-01-01;
6253;Venda de energia elétrica para estabelecimento comercial;2009-01-01;
6254;Venda de energia elétrica para estabelecimento prestador de serviço de transporte;2009-01-01;
6255;Venda de energia elétrica para estabelecimento prestador de serviço de comunicação;2009-01-01;
6256;Venda de energia elétrica para estabelecimento de produtor rural;2009-01-01;
6257;Venda de energia elétrica para consumo por demanda contratada;2009-01-01;
6258;Venda de energia elétrica a não contribuinte;2009-01-01;
6301;Prestação de serviço de comunicação para execução de serviço da mesma natureza;2009-01-01;
6302;Prestação de serviço de comunicação a estabelecimento industrial;2009-01-01;
6303;Prestação de serviço de comunicação a estabelecimento comercial;2009-01-01;
6304;Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte;2009-01-01;
6305;Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
6306;Prestação de serviço de comunicação a estabelecimento de produtor rural;2009-01-01;
6307;Prestação de serviço de comunicação a não contribuinte;2009-01-01;
6351;Prestação de serviço de transporte para execução de serviço da mesma natureza;2009-01-01;
6352;Prestação de serviço de transporte a estabelecimento industrial;2009-01-01;
6353;Prestação de serviço de transporte a estabelecimento comercial;2009-01-01;
6354;Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação;2009-01-01;
6355;Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
6356;Prestação de serviço de transporte a estabelecimento de produtor rural;2009-01-01;
6357;Prestação de serviço de transporte a não contribuinte;2009-01-01;
6359;Prestação de serviço de transporte a contribuinte ou a não contribuinte quando a mercadoria transportada está dispensada de emissão de nota fiscal. (ajuste sinief 03/04);2009-01-01;
6360;Prestação de serviço de transporte a contribuinte substituto em relação ao serviço de transporte;2009-01-01;
6401;Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto;2009-01-01;
6402;Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto;2009-01-01;
6403;Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária, na condição de contribuinte substituto;2009-01-01;
6404;Venda de mercadoria sujeita ao regime de substituição tributária, cujo imposto já tenha sido retido anteriormente;2009-01-01;
6408;Transferência de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
6409;Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
6410;Devolução de compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
6411;Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
6412;Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
6413;Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
6414;Remessa de produção do estabelecimento para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
6415;Remessa de mercadoria adquirida ou recebida de terceiros para venda fora do estabelecimento, em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
6451;Remessa de animal - Sistema de Integração e Parceria Rural;2019-12-01;
6452;Remessa de insumo - Sistema de Integração e Parceria Rural;2019-12-01;
6453;Retorno de animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
6454;Retorno simbólico de animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
6455;Retorno de insumos não utilizados na produção - Sistema de Integração e Parceria Rural;2019-12-01;
6456;Saída referente a remuneração do produtor - Sistema de Integração e Parceria Rural;2019-12-01;
6501;Remessa de produção do estabelecimento, com fim específico de exportação;2009-01-01;
6502;Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação;2009-01-01;
6503;Devolução de mercadoria recebida com fim específico de exportação;2009-01-01;
6504;Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;2009-01-01;
6505;Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação;2009-01-01;
6551;Venda de bem do ativo imobilizado;2009-01-01;
6552;Transferência de bem do ativo imobilizado;2009-01-01;
6553;Devolução de compra de bem para o ativo imobilizado;2009-01-01;
6554;Remessa de bem do ativo imobilizado para uso fora do estabelecimento;2009-01-01;
6555;Devolução de bem do ativo imobilizado de terceiro, recebido para uso no estabelecimento;2009-01-01;
6556;Devolução de compra de material de uso ou consumo;2009-01-01;
6557;Transferência de material de uso ou consumo;2009-01-01;
6603;Ressarcimento de ICMS retido por substituição tributária;2009-01-01;
6651;Venda de combustível ou lubrificante de produção do estabelecimento destinado à industrialização subseqüente;2009-01-01;
6652;Venda de combustível ou lubrificante de produção do estabelecimento destinado à comercialização;2009-01-01;
6653;Venda de combustível ou lubrificante de produção do estabelecimento destinado a consumidor ou usuário final;2009-01-01;
6654;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à industrialização subseqüente;2009-01-01;
6655;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à comercialização;2009-01-01;
6656;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado a consumidor ou usuário final;2009-01-01;
6657;Remessa de combustível ou lubrificante adquirido ou recebido de terceiros para venda fora do estabelecimento;2009-01-01;
6658;Transferência de combustível ou lubrificante de produção do estabelecimento;2009-01-01;
6659;Transferência de combustível ou lubrificante adquirido ou recebido de terceiro;2009-01-01;
6660;Devolução de compra de combustível ou lubrificante adquirido para industrialização subseqüente;2009-01-01;
6661;Devolução de compra de combustível ou lubrificante adquirido para comercialização;2009-01-01;
6662;Devolução de compra de combustível ou lubrificante adquirido por consumidor ou usuário final;2009-01-01;
6663;Remessa para armazenagem de combustível ou lubrificante;2009-01-01;
6664;Retorno de combustível ou lubrificante recebido para armazenagem;2009-01-01;
6665;Retorno simbólico de combustível ou lubrificante recebido para armazenagem;2009-01-01;
6666;Remessa por conta e ordem de terceiros de combustível ou lubrificante recebido para armazenagem;2009-01-01;
6667;Venda de combustível ou lubrificante a consumidor ou usuário final estabelecido em outra unidade da Federação diferente a da que ocorrer o consumo;2009-01-01;
6901;Remessa para industrialização por encomenda;2009-01-01;
6902;Retorno de mercadoria utilizada na industrialização por encomenda;2009-01-01;
6903;Retorno de mercadoria recebida para industrialização e não aplicada no referido processo;2009-01-01;
6904;Remessa para venda fora do estabelecimento;2009-01-01;2022-05-31
6904;Remessa para venda fora do estabelecimento, ou qualquer remessa efetuada pelo MEI com exceção das classificadas nos códigos 6.502 e 6.505;2022-06-01;
6905;Remessa para depósito fechado ou armazém geral;2009-01-01;
6906;Retorno de mercadoria depositada em depósito fechado ou armazém geral;2009-01-01;
6907;Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral;2009-01-01;
6908;Remessa de bem por conta de contrato de comodato;2009-01-01;2019-11-30
6908;Remessa de bem por conta de contrato de comodato ou locação;2019-12-01;
6909;Retorno de bem recebido por conta de contrato de comodato;2009-01-01;2019-11-30
6909;Retorno de bem recebido por conta de contrato de comodato ou locação;2019-12-01;
6910;Remessa em bonificação, doação ou brinde;2009-01-01;
6911;Remessa de amostra grátis;2009-01-01;
6912;Remessa de mercadoria ou bem para demonstração;2009-01-01;
6913;Retorno de mercadoria ou bem recebido para demonstração;2009-01-01;
6914;Remessa de mercadoria ou bem para exposição ou feira;2009-01-01;
6915;Remessa de mercadoria ou bem para conserto ou reparo;2009-01-01;
6916;Retorno de mercadoria ou bem recebido para conserto ou reparo;2009-01-01;
6917;Remessa de mercadoria em consignação mercantil ou industrial;2009-01-01;
6918;Devolução de mercadoria recebida em consignação mercantil ou industrial;2009-01-01;
6919;Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial;2009-01-01;
6920;Remessa de vasilhame ou sacaria;2009-01-01;
6921;Devolução de vasilhame ou sacaria;2009-01-01;
6922;Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura;2009-01-01;
6923;Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem;2009-01-01;2010-06-30
6924;Remessa para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;2009-01-01;
6925;Retorno de mercadoria recebida para industrialização por conta e ordem do adquirente da mercadoria, quando aquela não transitar pelo estabelecimento do adquirente;2009-01-01;
6929;Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento Emissor de Cupom Fiscal - ECF;2009-01-01;
6931;Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço;2009-01-01;
6932;Prestação de serviço de transporte iniciada em unidade da Federação diversa daquela onde inscrito o prestador;2009-01-01;
6933;Prestação de serviço tributado pelo ISSQN (ajuste sinief 03/04);2009-01-01;
6949;Outra saída de mercadoria ou prestação de serviço não especificado;2009-01-01;
7101;Venda de produção do estabelecimento;2009-01-01;
7102;Venda de mercadoria adquirida ou recebida de terceiros;2009-01-01;
7105;Venda de produção do estabelecimento, que não deva por ele transitar;2009-01-01;
7106;Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;2009-01-01;
7127;Venda de produção do estabelecimento sob o regime de drawback;2009-01-01;
7201;Devolução de compra para industrialização;2009-01-01;
7202;Devolução de compra para comercialização;2009-01-01;
7205;Anulação de valor relativo à aquisição de serviço de comunicação;2009-01-01;
7206;Anulação de valor relativo a aquisição de serviço de transporte;2009-01-01;
7207;Anulação de valor relativo à compra de energia elétrica;2009-01-01;
7210;Devolução de compra para utilização na prestação de serviço;2009-01-01;
7211;Devolução de compras para industrialização sob o regime de drawback;2009-01-01;
7251;Venda de energia elétrica para o exterior;2009-01-01;
7301;Prestação de serviço de comunicação para execução de serviço da mesma natureza;2009-01-01;
7358;Prestação de serviço de transporte;2009-01-01;
7501;Exportação de mercadorias recebidas com fim específico de exportação;2009-01-01;
7504;Exportação de mercadoria que foi objeto de formação de lote de exportação;2018-09-01;
7551;Venda de bem do ativo imobilizado;2009-01-01;
7553;Devolução de compra de bem para o ativo imobilizado;2009-01-01;
7556;Devolução de compra de material de uso ou consumo;2009-01-01;
7651;Venda de combustível ou lubrificante de produção do estabelecimento destinado à industrialização subseqüente;2009-01-01;
7654;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à industrialização subseqüente;2009-01-01;
7667;Venda de combustível ou lubrificante a consumidor ou usuário final;2009-01-01;
7930;Lançamento efetuado a título de devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária;2009-01-01;
7949;Outra saída de mercadoria ou prestação de serviço não especificado;2009-01-01;
1934;Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral;2010-07-01;
2934;Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral;2010-07-01;
5923;Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem ou em operações com armazém geral ou depósito fechado;2010-07-01;
5934;Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado;2010-07-01;
6923;Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem ou em operações com armazém geral ou depósito fechado;2010-07-01;
6934;Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado;2010-07-01;
1128;Compra para utilização na prestação de serviço sujeita ao ISSQN;2011-01-01;
2128;Compra para utilização na prestação de serviço sujeita ao ISSQN;2011-01-01;
3128;Compra para utilização na prestação de serviço sujeita ao ISSQN;2011-01-01;
1212;Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
2212;Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
3129;Compra para industrialização sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
3212;Devolução de venda no mercado externo de mercadoria industrializada sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
5129;Venda de insumo importado e de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped;2016-04-01;
6129;Venda de insumo importado e de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
7129;Venda de produção do estabelecimento ao mercado externo de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
7212;Devolução de compras para industrialização sob o regime de Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped);2016-04-01;
1131;Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.;2018-01-01;
1132;Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização;2018-01-01;
1135;Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.;2018-01-01;
1213;Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.;2018-01-01;
1214;Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo.;2018-01-01;
2131;Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.;2018-01-01;
2132;Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização.;2018-01-01;
2135;Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.;2018-01-01;
2213;Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.;2018-01-01;
2214;Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo.;2018-01-01;
5131;Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo.;2018-01-01;
5132;Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.;2018-01-01;
5213;Devolução de entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.;2018-01-01;
