CFOP;Descrição;Início;Fim
1506;Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação;2018-09-01;
1551;Compra de bem para o ativo imobilizado;2009-01-01;
1552;Transferência de bem do ativo imobilizado;2009-01-01;
1553;Devolução de venda de bem do ativo imobilizado;2009-01-01;
1554;Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento;2009-01-01;
1555;Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento;2009-01-01;
1556;Compra de material para uso ou consumo;2009-01-01;
1557;Transferência de material para uso ou consumo;2009-01-01;
1601;Recebimento, por transferência, de crédito de ICMS;2009-01-01;
1602;Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS;2009-01-01;
1603;Ressarcimento de ICMS retido por substituição tributária;2009-01-01;
1604;Lançamento do crédito relativo à compra de bem para o ativo imobilizado;2009-01-01;
1605;Recebimento, por transferência, de saldo devedor de ICMS de outro estabelecimento da mesma empresa.;2009-01-01;
1651;Compra de combustível ou lubrificante para industrialização subseqüente;2009-01-01;
1652;Compra de combustível ou lubrificante para comercialização;2009-01-01;
1653;Compra de combustível ou lubrificante por consumidor ou usuário final;2009-01-01;
1657;Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento;2020-02-01;
1658;Transferência de combustível e lubrificante para industrialização;2009-01-01;
1659;Transferência de combustível e lubrificante para comercialização;2009-01-01;
1660;Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente;2009-01-01;
1661;Devolução de venda de combustível ou lubrificante destinado à comercialização;2009-01-01;
1662;Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final;2009-01-01;
1663;Entrada de combustível ou lubrificante para armazenagem;2009-01-01;
1664;Retorno de combustível ou lubrificante remetido para armazenagem;2009-01-01;
1901;Entrada para industrialização por encomenda;2009-01-01;
1902;Retorno de mercadoria remetida para industrialização por encomenda;2009-01-01;
1903;Entrada de mercadoria remetida para industrialização e não aplicada no referido processo;2009-01-01;
1904;Retorno de remessa para venda fora do estabelecimento;2009-01-01;2022-05-31
1904;Retorno de remessa para venda fora do estabelecimento, ou qualquer entrada e retorno de remessa efetuada pelo MEI com exceção dos classificados nos códigos 1.202, 1.503, 1.504, 1.505 e 1.506;2022-06-01;
1905;Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral;2009-01-01;
1906;Retorno de mercadoria remetida para depósito fechado ou armazém geral;2009-01-01;
1907;Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral;2009-01-01;
1908;Entrada de bem por conta de contrato de comodato;2009-01-01;2019-11-30
1908;Entrada de bem por conta de contrato de comodato ou locação;2019-12-01;
1909;Retorno de bem remetido por conta de contrato de comodato;2009-01-01;2019-11-30
1909;Retorno de bem remetido por conta de contrato de comodato ou locação;2019-12-01;
1910;Entrada de bonificação, doação ou brinde;2009-01-01;
1911;Entrada de amostra grátis;2009-01-01;
1912;Entrada de mercadoria ou bem recebido para demonstração;2009-01-01;
1913;Retorno de mercadoria ou bem remetido para demonstração;2009-01-01;
1914;Retorno de mercadoria ou bem remetido para exposição ou feira;2009-01-01;
1915;Entrada de mercadoria ou bem recebido para conserto ou reparo;2009-01-01;
1916;Retorno de mercadoria ou bem remetido para conserto ou reparo;2009-01-01;
1917;Entrada de mercadoria recebida em consignação mercantil ou industrial;2009-01-01;
1918;Devolução de mercadoria remetida em consignação mercantil ou industrial;2009-01-01;
1919;Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial;2009-01-01;
